date,open,high,low,close,adj_close,volume,dividends,splits,source,ema20,ema50,ema200,return_20d,momentum_score,rsi14,volume_ma20,ema20_ready,ema50_ready,ema200_ready,return_20d_ready,momentum_score_ready,rsi14_ready,volume_ma20_ready,indicator_warmup_complete,market_regime_ready,market_regime_bullish,indicator_price_basis
1990-04-06,641.2689819335938,641.2689819335938,641.2689819335938,641.2689819335938,641.2440185546875,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-09,633.4819946289062,633.4819946289062,633.4819946289062,633.4819946289062,633.4573364257812,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-10,632.0859985351562,632.0859985351562,632.0859985351562,632.0859985351562,632.0613403320312,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-11,634.6929931640625,634.6929931640625,634.6929931640625,634.6929931640625,634.6682739257812,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-12,639.614013671875,639.614013671875,639.614013671875,639.614013671875,639.589111328125,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-16,640.0139770507812,640.0139770507812,640.0139770507812,640.0139770507812,639.9890747070312,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-17,641.8729858398438,641.8729858398438,641.8729858398438,641.8729858398438,641.8479614257812,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-18,640.5280151367188,640.5280151367188,640.5280151367188,640.5280151367188,640.5031127929688,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-19,643.906005859375,643.906005859375,643.906005859375,643.906005859375,643.8809814453125,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-20,641.6859741210938,641.6859741210938,641.6859741210938,641.6859741210938,641.6610107421875,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-23,643.9099731445312,643.9099731445312,643.9099731445312,643.9099731445312,643.8849487304688,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-04-24,638.7979736328125,638.7979736328125,638.7979736328125,638.7979736328125,638.7730712890625,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-05-01,639.010009765625,639.010009765625,639.010009765625,639.010009765625,638.985107421875,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-05-02,636.1539916992188,636.1539916992188,636.1539916992188,636.1539916992188,636.1292724609375,0,0.0,0.0,yfinance_raw_daily,,,,,,,,False,False,False,False,False,False,False,False,False,False,adj_close
1990-05-03,642.1599731445312,642.1599731445312,642.1599731445312,642.1599731445312,642.1349487304688,0,0.0,0.0,yfinance_raw_daily,,,,,,22.33555015175304,,False,False,False,False,False,True,False,False,False,False,adj_close
1990-05-04,643.093994140625,643.093994140625,643.093994140625,643.093994140625,643.0689697265625,0,0.0,0.0,yfinance_raw_daily,,,,,,23.5016090272769,,False,False,False,False,False,True,False,False,False,False,adj_close
1990-05-07,641.9459838867188,641.9459838867188,641.9459838867188,641.9459838867188,641.9209594726562,0,0.0,0.0,yfinance_raw_daily,,,,,,23.043653446738233,,False,False,False,False,False,True,False,False,False,False,adj_close
1990-05-08,642.9840087890625,642.9840087890625,642.9840087890625,642.9840087890625,642.958984375,0,0.0,0.0,yfinance_raw_daily,,,,,,24.476677677215733,,False,False,False,False,False,True,False,False,False,False,adj_close
1990-05-09,645.0120239257812,645.0120239257812,645.0120239257812,645.0120239257812,644.9869384765625,0,0.0,0.0,yfinance_raw_daily,,,,,,27.323990585415387,,False,False,False,False,False,True,False,False,False,False,adj_close
1990-05-11,643.31201171875,643.31201171875,643.31201171875,643.31201171875,643.2869873046875,0,0.0,0.0,yfinance_raw_daily,641.3527796341982,,,,,26.424645653216132,0.0,True,False,False,False,False,True,True,False,False,False,adj_close
1990-05-14,638.9219970703125,638.9219970703125,638.9219970703125,638.9219970703125,638.8970947265625,0,0.0,0.0,yfinance_raw_daily,641.11890488109,,,-0.0036599543390903877,-0.0036599543390903877,24.208715624209503,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
1990-05-15,640.85498046875,640.85498046875,640.85498046875,640.85498046875,640.830078125,0,0.0,0.0,yfinance_raw_daily,641.0913975709861,,,0.01163889227460646,0.01163889227460646,27.107324874796063,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
1990-05-16,639.3369750976562,639.3369750976562,639.3369750976562,639.3369750976562,639.3120727539062,0,0.0,0.0,yfinance_raw_daily,640.9219380645976,,,0.011471564481488672,0.011471564481488672,26.258022590395925,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
1990-05-17,644.4409790039062,644.4409790039062,644.4409790039062,644.4409790039062,644.4158935546875,0,0.0,0.0,yfinance_raw_daily,641.2546957303205,,,0.01535860547843626,0.01535860547843626,33.77128803931484,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
1990-05-21,647.2160034179688,647.2160034179688,647.2160034179688,647.2160034179688,647.1907958984375,0,0.0,0.0,yfinance_raw_daily,641.8200386034745,,,0.011885262640771721,0.011885262640771721,37.49977399250824,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
1990-05-22,647.4010009765625,647.4010009765625,647.4010009765625,647.4010009765625,647.3757934570312,0,0.0,0.0,yfinance_raw_daily,642.349158113337,,,0.011541945076767757,0.011541945076767757,37.75137878868398,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
1990-05-23,646.2470092773438,646.2470092773438,646.2470092773438,646.2470092773438,646.2218017578125,0,0.0,0.0,yfinance_raw_daily,642.7179813175728,,,0.006814449207434237,0.006814449207434237,36.757341241454576,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
1990-05-25,647.3599853515625,647.3599853515625,647.3599853515625,647.3599853515625,647.3347778320312,0,0.0,0.0,yfinance_raw_daily,643.1576762237116,,,0.010666091862180815,0.010666091862180815,38.44090672132823,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
1990-05-28,640.1300048828125,640.1300048828125,640.1300048828125,640.1300048828125,640.1051025390625,0,0.0,0.0,yfinance_raw_daily,642.8669549204118,,,-0.0058642497838254926,-0.0058642497838254926,32.40608896075385,0.0,True,False,False,True,True,True,True,False,False,False,adj_close
