reference_date,train_end,y_true_move,proba_move,pred_move,train_majority_pred
2017-03-15,2017-03-14,1,0.7094810441156553,1,0
2017-03-16,2017-03-14,1,0.6335553848297529,1,0
2017-03-17,2017-03-14,1,0.8374587713162022,1,0
2017-03-20,2017-03-14,1,0.8050498694805508,1,0
2017-03-21,2017-03-14,1,0.7391841392200221,1,0
2017-03-22,2017-03-14,1,0.7430597495988839,1,0
2017-03-23,2017-03-14,1,0.651532270209508,1,0
2017-03-24,2017-03-14,1,0.5135382210801266,1,0
2017-03-27,2017-03-14,1,0.40886768647747346,0,0
2017-03-29,2017-03-14,1,0.33287851609901764,0,0
2017-03-30,2017-03-14,1,0.26076634521371805,0,0
2017-03-31,2017-03-14,1,0.5835892633001744,1,0
2017-04-03,2017-03-14,1,0.3552643766617132,0,0
2017-04-04,2017-03-14,1,0.8791697896169351,1,0
2017-04-05,2017-03-14,1,0.9024811728525527,1,0
2017-04-06,2017-03-14,1,0.7678662018793119,1,0
2017-04-07,2017-03-14,1,0.6743711448393458,1,0
2017-04-10,2017-03-14,0,0.6148468451144835,1,0
2017-04-11,2017-03-14,1,0.6390331420931707,1,0
2017-04-12,2017-03-14,0,0.5578151910628714,1,0
2017-04-13,2017-03-14,0,0.5420767954512045,1,0
2017-04-17,2017-03-14,1,0.6062239592779004,1,0
2017-04-18,2017-03-14,1,0.6105090264935347,1,0
2017-04-20,2017-03-14,1,0.5946895291598828,1,0
2017-04-21,2017-03-14,1,0.4777574544171565,0,0
2017-04-25,2017-03-14,1,0.4009386428541327,0,0
2017-04-26,2017-03-14,1,0.3566917355745389,0,0
2017-04-27,2017-03-14,1,0.3556118006431056,0,0
2017-04-28,2017-03-14,1,0.2915589398904328,0,0
2017-05-02,2017-03-14,1,0.2476492250822953,0,0
2017-05-03,2017-03-14,1,0.39894866845289384,0,0
2017-05-04,2017-03-14,1,0.17621691184624233,0,0
2017-05-05,2017-03-14,1,0.09269715049382019,0,0
2017-05-08,2017-03-14,1,0.0655256475428718,0,0
2017-05-09,2017-03-14,1,0.0563959069939582,0,0
2017-05-10,2017-03-14,1,0.07229248406462506,0,0
2017-05-12,2017-03-14,1,0.416077711000601,0,0
2017-05-15,2017-03-14,1,0.5323833918626742,1,0
