date,open,high,low,close,adj_close,volume,dividends,splits,source
2001-06-07,12150.0,12250.0,12100.0,12100.0,5752.47998046875,744000,0.0,0.0,yfinance_raw_daily
2001-06-08,12150.0,12150.0,12050.0,12050.0,5728.71044921875,482000,0.0,0.0,yfinance_raw_daily
2001-06-11,12100.0,12250.0,12100.0,12200.0,5800.02197265625,1006000,0.0,0.0,yfinance_raw_daily
2001-06-12,12250.0,13000.0,12200.0,12950.0,6156.58056640625,7133500,0.0,0.0,yfinance_raw_daily
2001-06-13,13100.0,13150.0,12650.0,12650.0,6013.95751953125,4351000,0.0,0.0,yfinance_raw_daily
2001-06-14,12650.0,12900.0,12550.0,12750.0,6061.4990234375,1989000,0.0,0.0,yfinance_raw_daily
2001-06-15,12750.0,12800.0,12450.0,12500.0,5942.64453125,2547500,0.0,0.0,yfinance_raw_daily
2001-06-18,12500.0,12700.0,12350.0,12700.0,6037.7265625,1525500,0.0,0.0,yfinance_raw_daily
2001-06-19,12700.0,12950.0,12650.0,12800.0,6085.267578125,2983500,0.0,0.0,yfinance_raw_daily
2001-06-20,12800.0,12950.0,12700.0,12850.0,6109.0380859375,2287500,0.0,0.0,yfinance_raw_daily
2001-06-21,12900.0,12950.0,12700.0,12950.0,6156.58056640625,3742000,0.0,0.0,yfinance_raw_daily
2001-06-22,13000.0,13650.0,13000.0,13650.0,6489.36767578125,10027500,0.0,0.0,yfinance_raw_daily
2001-06-25,13650.0,13800.0,13450.0,13450.0,6394.2841796875,3452500,0.0,0.0,yfinance_raw_daily
2001-06-26,13450.0,13700.0,13450.0,13500.0,6418.05615234375,2073500,0.0,0.0,yfinance_raw_daily
2001-06-27,13500.0,13600.0,13300.0,13450.0,6394.2841796875,1659000,0.0,0.0,yfinance_raw_daily
2001-06-28,13400.0,13400.0,12750.0,12900.0,6132.8095703125,3771000,0.0,0.0,yfinance_raw_daily
2001-06-29,12950.0,13200.0,12750.0,13200.0,6275.43408203125,3796500,0.0,0.0,yfinance_raw_daily
2001-07-02,13200.0,13200.0,12900.0,13000.0,6180.3505859375,500000,0.0,0.0,yfinance_raw_daily
2001-07-03,12950.0,13050.0,12750.0,12800.0,6085.267578125,1179500,0.0,0.0,yfinance_raw_daily
2001-07-04,12850.0,12850.0,12750.0,12850.0,6109.0380859375,506000,0.0,0.0,yfinance_raw_daily
2001-07-05,12850.0,13100.0,12850.0,13000.0,6180.3505859375,1326000,0.0,0.0,yfinance_raw_daily
2001-07-06,12950.0,13000.0,12950.0,13000.0,6180.3505859375,116500,0.0,0.0,yfinance_raw_daily
2001-07-09,12950.0,13150.0,12950.0,13050.0,6204.12109375,1175000,0.0,0.0,yfinance_raw_daily
2001-07-10,13050.0,13150.0,12950.0,13000.0,6180.3505859375,611000,0.0,0.0,yfinance_raw_daily
2001-07-11,13000.0,13200.0,13000.0,13150.0,6251.66162109375,857000,0.0,0.0,yfinance_raw_daily
2001-07-12,13150.0,13150.0,12900.0,12950.0,6156.58056640625,1454500,0.0,0.0,yfinance_raw_daily
2001-07-13,13000.0,13150.0,13000.0,13050.0,6204.12109375,1127000,0.0,0.0,yfinance_raw_daily
2001-07-16,13100.0,13250.0,12950.0,13000.0,6180.3505859375,972000,0.0,0.0,yfinance_raw_daily
2001-07-17,13000.0,13100.0,12900.0,13050.0,6204.12109375,634500,0.0,0.0,yfinance_raw_daily
2001-07-18,13100.0,13150.0,13050.0,13150.0,6251.66162109375,1653500,0.0,0.0,yfinance_raw_daily
