date,open,high,low,close,adj_close,volume,dividends,splits,source
2007-11-06,98.0,102.0,89.0,98.0,67.67601013183594,1274430000,0.0,0.0,yfinance_raw_daily
2007-11-07,98.0,103.0,97.0,101.0,69.74774169921875,349330000,0.0,0.0,yfinance_raw_daily
2007-11-08,99.0,100.0,96.0,99.0,68.36658477783203,66270000,0.0,0.0,yfinance_raw_daily
2007-11-09,95.0,97.0,95.0,95.0,65.60430145263672,40075000,0.0,0.0,yfinance_raw_daily
2007-11-12,90.0,95.0,89.0,90.0,62.15144348144531,113285000,0.0,0.0,yfinance_raw_daily
2007-11-13,86.0,90.0,86.0,86.0,59.389156341552734,26735000,0.0,0.0,yfinance_raw_daily
2007-11-14,85.0,88.0,84.0,85.0,58.69858932495117,39535000,0.0,0.0,yfinance_raw_daily
2007-11-15,87.0,87.0,83.0,87.0,60.07973098754883,98030000,0.0,0.0,yfinance_raw_daily
2007-11-16,85.0,85.0,84.0,85.0,58.69858932495117,15405000,0.0,0.0,yfinance_raw_daily
2007-11-19,85.0,85.0,84.0,84.0,58.00800704956055,33740000,0.0,0.0,yfinance_raw_daily
2007-11-20,84.0,87.0,82.0,87.0,60.07973098754883,58235000,0.0,0.0,yfinance_raw_daily
2007-11-21,84.0,85.0,83.0,85.0,58.69858932495117,19880000,0.0,0.0,yfinance_raw_daily
2007-11-22,85.0,85.0,84.0,85.0,58.69858932495117,15240000,0.0,0.0,yfinance_raw_daily
2007-11-23,86.0,86.0,85.0,86.0,59.389156341552734,20905000,0.0,0.0,yfinance_raw_daily
2007-11-26,86.0,86.0,85.0,85.0,58.69858932495117,50720000,0.0,0.0,yfinance_raw_daily
2007-11-27,85.0,85.0,83.0,85.0,58.69858932495117,30050000,0.0,0.0,yfinance_raw_daily
2007-11-28,85.0,87.0,85.0,85.0,58.69858932495117,36685000,0.0,0.0,yfinance_raw_daily
2007-11-29,85.0,87.0,85.0,85.0,58.69858932495117,29600000,0.0,0.0,yfinance_raw_daily
