variant_id,variant_label,ticker,entry_signals,total_trades,avg_return_per_trade,avg_win_rate,avg_holding_period_actual,max_drawdown_per_trade,coverage_collapsed
baseline_fixed_hold_5d,Baseline fixed hold 5 days,TLKM,307,167,-0.2158,43.7126,5.0,3.2516,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,TPIA,307,122,2.274,57.377,5.0,3.5145,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,UNTR,443,230,0.4967,49.5652,5.0,3.8616,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,UNVR,409,211,0.1519,48.3412,5.0,3.3291,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,AALI,418,142,-0.1888,40.1408,10.5211,4.8891,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ACES,315,102,-0.875,36.2745,12.0294,5.2206,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ADRO,304,104,0.8922,46.1538,11.3846,5.6224,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,AKRA,267,105,0.325,42.8571,11.6762,5.6965,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,AMRT,289,103,0.8275,43.6893,10.6796,5.8733,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ANTM,329,101,1.5726,44.5545,10.9604,5.503,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ASII,370,141,1.1535,46.0993,11.0426,3.9341,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,AUTO,463,147,1.0072,43.5374,11.2925,4.391,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,BBCA,355,143,0.6742,52.4476,11.7972,3.4419,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,BBNI,396,132,0.8398,48.4848,11.5076,3.8819,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,BBRI,357,134,0.2029,48.5075,11.5299,4.1083,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,BBTN,265,89,-0.2972,40.4494,11.5056,4.8728,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,BMRI,374,137,1.2556,51.8248,11.9562,3.9363,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,BRPT,369,118,5.4962,40.678,9.5932,5.8423,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,BSDE,294,93,0.534,39.7849,11.5699,5.2424,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,CPIN,338,117,1.5819,40.1709,10.8718,4.9995,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,CTRA,467,147,1.4453,40.8163,11.1429,5.6057,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ERAA,211,71,1.0398,40.8451,11.1268,6.3642,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ESSA,244,73,1.8148,39.726,11.3151,6.8728,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,EXCL,343,118,0.0864,41.5254,10.7712,5.1085,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,GGRM,341,126,0.1814,37.3016,10.2778,3.8787,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,GOTO,41,14,-1.633,28.5714,11.5,8.7411,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,HMSP,434,145,0.3972,46.8966,10.7379,4.8286,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ICBP,434,145,1.3528,47.5862,11.8345,4.3317,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,INCO,375,118,1.226,44.9153,10.9237,5.2573,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,INDF,396,132,1.183,46.2121,12.1894,4.3277,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,INDY,313,93,2.7415,43.0108,11.4086,6.5942,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,INTP,404,145,0.6691,39.3103,11.2207,4.705,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ISAT,349,122,1.334,49.1803,11.7623,4.5559,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,ITMG,297,105,1.3456,39.0476,11.3143,4.4135,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,JPFA,470,140,1.3876,45.7143,10.6857,6.6673,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,JSMR,280,99,-0.1783,41.4141,12.0505,4.3322,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,KLBF,390,130,0.891,43.8462,11.8,4.0269,False
