ticker,rule_id,candidate_id,entry_rule,comparison_role,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,candidate_signal_count,candidate_total_trades,candidate_eligible_for_analysis,win_rate,buffered_win_rate,average_return,max_drawdown,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
BUMI,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,close_gt_ema20_and_bullish_candle,v3_candidate,3,5,0.0,1.5,4,2,False,50.0,50.0,-3.7737,0.0,3.0658,7.0,0.0,26.0,-15.9342,mining,,pertambangan,
DEWA,baseline_reference,baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,baseline_reference,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,mining,,pertambangan,
DEWA,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,close_gt_ema20_and_bullish_candle,v3_candidate,3,5,0.0,1.5,6,2,False,0.0,0.0,-2.6036,2.0576,-6.509,7.0,0.9259,26.0,-26.4349,mining,,pertambangan,
DEWA,baseline_v3_ema20_volume_relaxed,baseline_v3_ema20_volume_relaxed,close_gt_ema20_and_volume_spike_relaxed,v3_candidate,3,5,0.0,1.5,4,1,False,0.0,0.0,-2.0576,0.0,-5.144,3.5,0.0,30.0,-31.644,mining,,pertambangan,
DEWA,baseline_v3_ema20_trend,baseline_v3_ema20_trend,close_gt_ema20,v3_candidate,3,5,0.0,1.5,12,3,False,0.0,0.0,-6.6138,16.3906,-16.5345,10.5,7.3758,22.0,-35.4103,mining,,pertambangan,
GOTO,baseline_reference,baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,baseline_reference,3,5,0.0,1.5,2,1,False,100.0,100.0,57.8947,0.0,169.7368,3.5,0.0,30.0,143.2368,technology,,teknologi,
GOTO,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,close_gt_ema20_and_bullish_candle,v3_candidate,3,5,0.0,1.5,8,5,True,60.0,60.0,22.0892,18.4332,70.223,17.5,8.2949,0.0,79.4281,technology,,teknologi,
GOTO,baseline_v3_ema20_trend,baseline_v3_ema20_trend,close_gt_ema20,v3_candidate,3,5,0.0,1.5,23,9,True,55.56,55.5556,-3.3899,57.7333,5.4141,17.5,25.98,0.0,-3.0658,technology,,teknologi,
GOTO,baseline_v3_ema20_volume_relaxed,baseline_v3_ema20_volume_relaxed,close_gt_ema20_and_volume_spike_relaxed,v3_candidate,3,5,0.0,1.5,8,4,False,25.0,25.0,-14.8864,47.4747,-30.966,14.0,21.3636,18.0,-56.3296,technology,,teknologi,
TLKM,baseline_reference,baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,baseline_reference,3,5,0.0,1.5,1,1,False,0.0,0.0,-1.2346,0.0,-3.0865,3.5,0.0,30.0,-29.5865,telco,,telekomunikasi,
TLKM,baseline_v3_ema20_trend,baseline_v3_ema20_trend,close_gt_ema20,v3_candidate,3,5,0.0,1.5,26,10,True,40.0,40.0,-1.1644,8.1311,7.089,17.5,3.659,0.0,20.93,telco,,telekomunikasi,
TLKM,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,close_gt_ema20_and_bullish_candle,v3_candidate,3,5,0.0,1.5,15,8,True,37.5,37.5,-1.5212,12.6999,5.572,17.5,5.715,0.0,17.357,telco,,telekomunikasi,
TLKM,baseline_v3_ema20_volume_relaxed,baseline_v3_ema20_volume_relaxed,close_gt_ema20_and_volume_spike_relaxed,v3_candidate,3,5,0.0,1.5,8,3,False,0.0,0.0,-3.2461,8.5297,-8.1152,10.5,3.8384,22.0,-23.4536,telco,,telekomunikasi,
UNVR,baseline_reference,baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,baseline_reference,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,consumer,,konsumsi,
UNVR,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,close_gt_ema20_and_bullish_candle,v3_candidate,3,5,0.0,1.5,7,6,True,50.0,50.0,3.8889,3.2519,22.2223,17.5,1.4634,0.0,38.2589,consumer,,konsumsi,
UNVR,baseline_v3_ema20_volume_relaxed,baseline_v3_ema20_volume_relaxed,close_gt_ema20_and_volume_spike_relaxed,v3_candidate,3,5,0.0,1.5,6,5,True,40.0,40.0,3.1606,2.5316,17.9015,17.5,1.1392,0.0,34.2623,consumer,,konsumsi,
UNVR,baseline_v3_ema20_trend,baseline_v3_ema20_trend,close_gt_ema20,v3_candidate,3,5,0.0,1.5,21,8,True,25.0,25.0,-0.166,17.8316,5.835,17.5,8.0242,0.0,15.3108,consumer,,konsumsi,
