variant_id,variant_label,date,active_ticker_count,available_ticker_count,target_selected_count
layer1_only,Layer 1 only,2000-06-06,0,1,0
layer1_only,Layer 1 only,2000-06-07,0,1,0
layer1_only,Layer 1 only,2000-06-08,0,1,0
layer1_only,Layer 1 only,2000-06-09,0,1,0
layer1_only,Layer 1 only,2000-06-12,0,1,0
layer1_only,Layer 1 only,2000-06-13,0,1,0
layer1_only,Layer 1 only,2000-06-14,0,1,0
layer1_only,Layer 1 only,2000-06-15,0,1,0
layer1_only,Layer 1 only,2000-06-16,0,1,0
layer1_only,Layer 1 only,2000-06-19,0,1,0
layer1_only,Layer 1 only,2000-06-20,0,1,0
layer1_only,Layer 1 only,2000-06-21,0,1,0
layer1_only,Layer 1 only,2000-06-22,0,1,0
layer1_only,Layer 1 only,2000-06-23,0,1,0
layer1_only,Layer 1 only,2000-06-26,0,1,0
layer1_only,Layer 1 only,2000-06-27,0,1,0
layer1_only,Layer 1 only,2000-06-28,0,1,0
layer1_only,Layer 1 only,2000-06-29,0,1,0
layer1_only,Layer 1 only,2000-06-30,0,1,0
layer1_only,Layer 1 only,2000-07-03,0,1,0
layer1_only,Layer 1 only,2000-07-04,0,1,0
layer1_only,Layer 1 only,2000-07-05,0,1,0
layer1_only,Layer 1 only,2000-07-06,0,1,0
layer1_only,Layer 1 only,2000-07-07,0,1,0
layer1_only,Layer 1 only,2000-07-10,0,1,0
layer1_only,Layer 1 only,2000-07-11,0,1,0
layer1_only,Layer 1 only,2000-07-12,0,1,0
layer1_only,Layer 1 only,2000-07-13,0,1,0
layer1_only,Layer 1 only,2000-07-14,0,1,0
layer1_only,Layer 1 only,2000-07-17,0,1,0
layer1_only,Layer 1 only,2000-07-18,0,1,0
layer1_only,Layer 1 only,2000-07-19,0,1,0
layer1_only,Layer 1 only,2000-07-20,0,1,0
layer1_only,Layer 1 only,2000-07-21,0,1,0
layer1_only,Layer 1 only,2000-07-24,0,1,0
layer1_only,Layer 1 only,2000-07-25,0,1,0
layer1_only,Layer 1 only,2000-07-26,0,1,0
layer1_only,Layer 1 only,2000-07-27,0,1,0
layer1_only,Layer 1 only,2000-07-28,0,1,0
layer1_only,Layer 1 only,2000-07-31,0,1,0
layer1_only,Layer 1 only,2000-08-01,0,1,0
layer1_only,Layer 1 only,2000-08-02,0,1,0
layer1_only,Layer 1 only,2000-08-03,0,1,0
layer1_only,Layer 1 only,2000-08-04,0,1,0
layer1_only,Layer 1 only,2000-08-07,0,1,0
layer1_only,Layer 1 only,2000-08-08,0,1,0
layer1_only,Layer 1 only,2000-08-09,0,1,0
