variant_id,variant_label,score_column,selection_mode,top_pct,active_ticker_count_median,active_ticker_count_min,active_ticker_count_max,active_ticker_count_mean,active_single_ticker_day_pct,total_signals,total_trades,median_trade_retention,avg_delta_win_rate,avg_delta_average_return,tickers_with_coverage_collapse,coverage_collapse_tickers,sample_adequacy_risk,sample_adequacy_reason
layer1_full_universe,Full universe after Layer 1,rs_score_return_20d,full_after_layer1,,40.0,0,51,30.4996,0.0,20854,9941,100.0,0.0,0.0,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
top_40pct_return_20d,Top 40% by return_20d,rs_score_return_20d,top_pct,0.4,16.0,0,21,12.4224,0.0,13495,6750,69.5971,-0.5188,-0.0131,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
top_50pct_return_20d,Top 50% by return_20d,rs_score_return_20d,top_pct,0.5,20.0,0,26,15.3342,0.0,15612,7723,78.6026,-0.1637,-0.0269,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
above_median_return_20d,Above-median return_20d,rs_score_return_20d,above_median,,20.0,0,25,15.0236,0.0,15411,7624,77.6786,-0.0582,-0.0227,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
top_50pct_vol_adjusted_return_20d,Top 50% by return_20d / vol20,rs_score_vol_adjusted_return_20d,top_pct,0.5,19.0,0,26,15.2027,0.0,15574,7712,78.1395,0.0345,-0.0396,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
