variant_id,variant_label,liquidity_gate_enabled,liquidity_threshold_value,liquidity_threshold_label,full_period_total_trades,full_period_median_trade_retention,full_period_avg_delta_win_rate,full_period_avg_delta_average_return,full_period_tickers_with_coverage_collapse,full_period_sample_adequacy_risk,candidate_slice_win_count,slice_count_excluding_full,candidate_positive_return_slice_count,candidate_negative_return_slice_count,candidate_low_risk_slice_count,candidate_avg_delta_average_return_range,candidate_avg_delta_win_rate_range,candidate_median_trade_retention_range
alt_filter_no_liquidity_gate,Alt filter without liquidity gate,False,,none,8507,85.5895,0.3924,0.0455,0,low,3,6,6,0,5,0.2154,1.3917,2.6524
alt_filter_liquidity_gate_2_5b,Alt filter with liquidity gate >= 2.5B IDR,True,2500000000.0,>= 2.5B IDR,7353,80.4878,-0.1837,-0.0665,0,low,0,6,2,4,5,0.1872,1.928,20.0371
alt_filter_liquidity_gate_5b,Alt filter with liquidity gate >= 5B IDR,True,5000000000.0,>= 5B IDR,6903,75.6098,-0.8931,-0.0261,0,low,3,6,3,3,4,1.4795,3.4581,35.0441
