ticker,config_id,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,applied_strict_mode,total_trades,win_rate,buffered_win_rate,average_return,max_drawdown,eligible_for_analysis,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
BBRI,hold_3_mintrades_5,3,5,0.0,1.5,False,108,39.81,39.8148,-0.0545,31.466,True,11.8082,20.0,15.733,0.0,16.0752,finance,,perbankan,
BMRI,hold_7_mintrades_10,7,10,0.0,1.5,False,103,51.46,51.4563,0.4776,26.9804,True,16.6309,40.0,13.4902,0.0,43.1407,finance,,perbankan,
BMRI,hold_5_mintrades_10,5,10,0.0,1.5,False,121,46.28,46.281,0.0267,22.7797,True,13.9511,40.0,11.3898,0.0,42.5612,finance,,perbankan,
BMRI,hold_7_mintrades_8,7,8,0.0,1.5,False,103,51.46,51.4563,0.4776,26.9804,True,16.6309,32.0,13.4902,0.0,35.1407,finance,,perbankan,
BMRI,hold_3_mintrades_10,3,10,0.0,1.5,False,136,46.32,46.3235,-0.0241,38.4895,True,13.8368,40.0,19.2447,0.0,34.5921,finance,,perbankan,
BMRI,hold_5_mintrades_8,5,8,0.0,1.5,False,121,46.28,46.281,0.0267,22.7797,True,13.9511,32.0,11.3898,0.0,34.5612,finance,,perbankan,
BMRI,hold_3_mintrades_8,3,8,0.0,1.5,False,136,46.32,46.3235,-0.0241,38.4895,True,13.8368,32.0,19.2447,0.0,26.592,finance,,perbankan,
BMRI,hold_7_mintrades_5,7,5,0.0,1.5,False,103,51.46,51.4563,0.4776,26.9804,True,16.6309,20.0,13.4902,0.0,23.1407,finance,,perbankan,
BMRI,hold_5_mintrades_5,5,5,0.0,1.5,False,121,46.28,46.281,0.0267,22.7797,True,13.9511,20.0,11.3898,0.0,22.5612,finance,,perbankan,
BMRI,hold_3_mintrades_5,3,5,0.0,1.5,False,136,46.32,46.3235,-0.0241,38.4895,True,13.8368,20.0,19.2447,0.0,14.592,finance,,perbankan,
BUMI,hold_7_mintrades_10,7,10,0.0,1.5,False,76,46.05,46.0526,4.9446,74.3331,True,26.1773,40.0,37.1666,0.0,29.0107,mining,,pertambangan,
BUMI,hold_3_mintrades_10,3,10,0.0,1.5,False,108,42.59,42.5926,2.947,65.6157,True,20.1453,40.0,32.8079,0.0,27.3374,mining,,pertambangan,
BUMI,hold_5_mintrades_10,5,10,0.0,1.5,False,84,45.24,45.2381,3.0234,70.5372,True,21.1299,40.0,35.2686,0.0,25.8613,mining,,pertambangan,
BUMI,hold_7_mintrades_8,7,8,0.0,1.5,False,76,46.05,46.0526,4.9446,74.3331,True,26.1773,32.0,37.1666,0.0,21.0107,mining,,pertambangan,
BUMI,hold_3_mintrades_8,3,8,0.0,1.5,False,108,42.59,42.5926,2.947,65.6157,True,20.1453,32.0,32.8079,0.0,19.3374,mining,,pertambangan,
BUMI,hold_5_mintrades_8,5,8,0.0,1.5,False,84,45.24,45.2381,3.0234,70.5372,True,21.1299,32.0,35.2686,0.0,17.8613,mining,,pertambangan,
BUMI,hold_7_mintrades_5,7,5,0.0,1.5,False,76,46.05,46.0526,4.9446,74.3331,True,26.1773,20.0,37.1666,0.0,9.0107,mining,,pertambangan,
BUMI,hold_3_mintrades_5,3,5,0.0,1.5,False,108,42.59,42.5926,2.947,65.6157,True,20.1453,20.0,32.8079,0.0,7.3374,mining,,pertambangan,
BUMI,hold_5_mintrades_5,5,5,0.0,1.5,False,84,45.24,45.2381,3.0234,70.5372,True,21.1299,20.0,35.2686,0.0,5.8613,mining,,pertambangan,
DEWA,hold_3_mintrades_10,3,10,0.0,1.5,False,84,42.86,42.8571,0.7469,50.2716,True,14.7244,40.0,25.1358,0.0,29.5886,mining,,pertambangan,
DEWA,hold_5_mintrades_10,5,10,0.0,1.5,False,67,41.79,41.791,0.8164,63.818,True,14.5783,40.0,31.909,0.0,22.6693,mining,,pertambangan,
DEWA,hold_3_mintrades_8,3,8,0.0,1.5,False,84,42.86,42.8571,0.7469,50.2716,True,14.7244,32.0,25.1358,0.0,21.5886,mining,,pertambangan,
DEWA,hold_7_mintrades_10,7,10,0.0,1.5,False,59,44.07,44.0678,0.9789,69.3084,True,15.6676,40.0,34.6542,0.0,21.0134,mining,,pertambangan,
DEWA,hold_5_mintrades_8,5,8,0.0,1.5,False,67,41.79,41.791,0.8164,63.818,True,14.5783,32.0,31.909,0.0,14.6693,mining,,pertambangan,
DEWA,hold_7_mintrades_8,7,8,0.0,1.5,False,59,44.07,44.0678,0.9789,69.3084,True,15.6676,32.0,34.6542,0.0,13.0134,mining,,pertambangan,
DEWA,hold_3_mintrades_5,3,5,0.0,1.5,False,84,42.86,42.8571,0.7469,50.2716,True,14.7244,20.0,25.1358,0.0,9.5886,mining,,pertambangan,
DEWA,hold_5_mintrades_5,5,5,0.0,1.5,False,67,41.79,41.791,0.8164,63.818,True,14.5783,20.0,31.909,0.0,2.6693,mining,,pertambangan,
DEWA,hold_7_mintrades_5,7,5,0.0,1.5,False,59,44.07,44.0678,0.9789,69.3084,True,15.6676,20.0,34.6542,0.0,1.0134,mining,,pertambangan,
GOTO,hold_5_mintrades_10,5,10,0.0,1.5,False,31,32.26,32.2581,-1.7196,47.7039,True,5.3784,40.0,23.8519,0.0,21.5265,technology,,teknologi,
GOTO,hold_5_mintrades_8,5,8,0.0,1.5,False,31,32.26,32.2581,-1.7196,47.7039,True,5.3784,32.0,23.8519,0.0,13.5265,technology,,teknologi,
GOTO,hold_3_mintrades_10,3,10,0.0,1.5,False,35,20.0,20.0,-2.7743,65.4829,True,-0.9358,40.0,32.7415,0.0,6.3228,technology,,teknologi,
