ticker,threshold,effective_confirmation_threshold,rows,date_start,date_end,phase_a_applied_threshold,phase_a_applied_strict_mode,baseline_total_trades,candidate_total_trades,delta_total_trades,trade_retention_pct,baseline_win_rate,candidate_win_rate,delta_win_rate,baseline_average_return,candidate_average_return,delta_average_return,baseline_max_drawdown,candidate_max_drawdown,delta_max_drawdown,eligible_by_min_trades,score_quality_reward,score_trade_penalty,score_drawdown_penalty,score_low_trade_penalty,score,outcome,data_warning_count,data_warnings,category,market_cap_group,sector,beta_group
BUMI,1.5,1.5,56,2026-01-12,2026-04-10,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,mining,,pertambangan,
DEWA,0.8,1.5,56,2026-01-12,2026-04-10,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,mining,,pertambangan,
DEWA,1.0,1.5,56,2026-01-12,2026-04-10,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,mining,,pertambangan,
DEWA,1.2,1.5,56,2026-01-12,2026-04-10,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,mining,,pertambangan,
DEWA,1.5,1.5,56,2026-01-12,2026-04-10,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,mining,,pertambangan,
GOTO,0.8,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,technology,,teknologi,
GOTO,1.0,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,technology,,teknologi,
GOTO,1.2,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,technology,,teknologi,
GOTO,1.5,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,technology,,teknologi,
TLKM,0.8,1.5,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-6.1728,-6.1728,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,39.0,-39.0,worsen,0,,telco,,telekomunikasi,
TLKM,1.0,1.5,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-6.1728,-6.1728,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,39.0,-39.0,worsen,0,,telco,,telekomunikasi,
TLKM,1.2,1.5,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-6.1728,-6.1728,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,39.0,-39.0,worsen,0,,telco,,telekomunikasi,
TLKM,1.5,1.5,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-6.1728,-6.1728,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,39.0,-39.0,worsen,0,,telco,,telekomunikasi,
UNVR,0.8,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,consumer,,konsumsi,
UNVR,1.0,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,consumer,,konsumsi,
UNVR,1.2,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,consumer,,konsumsi,
UNVR,1.5,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,consumer,,konsumsi,
