variant_id,variant_label,policy_family,top_pct,full_period_total_trades,full_period_median_trade_retention,full_period_avg_delta_win_rate,full_period_avg_delta_average_return,full_period_sample_adequacy_risk,full_period_tickers_with_coverage_collapse,slice_count_excluding_full,candidate_slice_win_count,candidate_positive_return_slice_count,candidate_negative_return_slice_count,candidate_low_risk_slice_count,candidate_avg_delta_average_return_range,candidate_avg_delta_win_rate_range,candidate_median_trade_retention_range
top_25pct_return_20d_explicit_tie_ceil_policy,Top 25% by return_20d with explicit tie handling and ceil cut,explicit_tie_ceil,0.25,4889,50.4202,-0.6731,0.2682,low,0,6,4,5,1,4,1.1379,2.5674,18.8158
top_25pct_return_20d_integer_floor_policy,Top 25% by return_20d with integer floor cut per date,integer_floor,0.25,4612,48.9011,-0.5841,0.0937,low,0,6,2,6,0,4,0.6434,2.3574,16.5725
top_25pct_return_20d_min_breadth_floor_3_policy,Top 25% by return_20d with minimum active breadth floor 3,min_breadth_floor_3,0.25,4889,50.4202,-0.6731,0.2682,low,0,6,0,5,1,4,1.1379,2.5674,18.8158
