threshold,effective_confirmation_threshold,ticker_count,eligible_ticker_count,low_trade_ticker_count,improve_count,neutral_count,worsen_count,baseline_total_trades_sum,candidate_total_trades_sum,delta_total_trades_sum,trade_retention_mean_pct,baseline_win_rate_mean,candidate_win_rate_mean,delta_win_rate_mean,baseline_average_return_mean,candidate_average_return_mean,delta_average_return_mean,baseline_max_drawdown_mean,candidate_max_drawdown_mean,delta_max_drawdown_mean,mean_score,median_score,threshold_profile,selected_as_global_best
0.8,1.5,10,0,10,0,0,10,6,6,0,40.0,3.3329999999999997,0.0,-3.3329999999999997,-1.55532,-1.5820899999999998,-0.02677,0.03802,0.03802,0.0,-50.41331,-53.0,negative,False
1.0,1.5,10,0,10,0,0,10,6,6,0,40.0,3.3329999999999997,0.0,-3.3329999999999997,-1.55532,-1.5820899999999998,-0.02677,0.03802,0.03802,0.0,-50.41331,-53.0,negative,True
1.2,1.5,10,0,10,0,0,10,6,6,0,40.0,3.3329999999999997,0.0,-3.3329999999999997,-1.55532,-1.5820899999999998,-0.02677,0.03802,0.03802,0.0,-50.41331,-53.0,negative,False
1.5,1.5,10,0,10,0,0,10,6,6,0,40.0,3.3329999999999997,0.0,-3.3329999999999997,-1.55532,-1.5820899999999998,-0.02677,0.03802,0.03802,0.0,-50.41331,-53.0,negative,False
