ticker,threshold,strict_mode,rows,date_start,date_end,total_trades,win_rate,average_return,max_drawdown,baseline_threshold,trades_vs_threshold_2_0,trade_retention_vs_threshold_2_0_pct,win_rate_vs_threshold_2_0,average_return_vs_threshold_2_0,max_drawdown_vs_threshold_2_0,eligible_by_min_trades,score_quality_reward,score_trade_penalty,score_drawdown_penalty,score_low_trade_penalty,score_trade_bonus,score,data_warning_count,data_warnings,category,market_cap_group,sector,beta_group,prior_action_bucket,prior_recommended_threshold_action,priority_from_previous_artifacts
DEWA,3.0,True,56,2026-01-12,2026-04-10,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,mining,,pertambangan,,,,False
GOTO,1.5,True,81,2026-01-12,2026-04-11,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,technology,,teknologi,,,,False
GOTO,2.0,True,81,2026-01-12,2026-04-11,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,technology,,teknologi,,,,False
GOTO,2.5,True,81,2026-01-12,2026-04-11,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,technology,,teknologi,,,,False
GOTO,3.0,True,81,2026-01-12,2026-04-11,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,technology,,teknologi,,,,False
TLKM,1.5,True,81,2026-01-12,2026-04-11,1,0.0,-6.1728,0.0,2.0,0,100.0,0.0,0.0,0.0,True,0.0,0.0,0.0,39.0,0.0,-39.0,0,,telco,,telekomunikasi,,,,False
TLKM,2.0,True,81,2026-01-12,2026-04-11,1,0.0,-6.1728,0.0,2.0,0,100.0,0.0,0.0,0.0,True,0.0,0.0,0.0,39.0,0.0,-39.0,0,,telco,,telekomunikasi,,,,False
TLKM,2.5,True,81,2026-01-12,2026-04-11,1,0.0,-6.1728,0.0,2.0,0,100.0,0.0,0.0,0.0,True,0.0,0.0,0.0,39.0,0.0,-39.0,0,,telco,,telekomunikasi,,,,False
TLKM,3.0,True,81,2026-01-12,2026-04-11,1,0.0,-6.1728,0.0,2.0,0,100.0,0.0,0.0,0.0,True,0.0,0.0,0.0,39.0,0.0,-39.0,0,,telco,,telekomunikasi,,,,False
UNVR,1.5,True,81,2026-01-12,2026-04-11,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,consumer,,konsumsi,,,,False
UNVR,2.0,True,81,2026-01-12,2026-04-11,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,consumer,,konsumsi,,,,False
UNVR,2.5,True,81,2026-01-12,2026-04-11,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,consumer,,konsumsi,,,,False
UNVR,3.0,True,81,2026-01-12,2026-04-11,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,True,0.0,12.0,0.0,41.0,0.0,-53.0,0,,consumer,,konsumsi,,,,False
