subset_id,subset_type,subset_label,group_field,group_value,tickers,observation_window,window_label,ticker_count,date_start,date_end,active_total_trades,candidate_total_trades,delta_total_trades,active_win_rate_mean,candidate_win_rate_mean,delta_win_rate_mean,active_average_return_mean,candidate_average_return_mean,delta_average_return_mean,active_max_drawdown_mean,candidate_max_drawdown_mean,delta_max_drawdown_mean,active_score_mean,candidate_score_mean,delta_score_mean,active_eligible_ticker_count,candidate_eligible_ticker_count,coverage_improved,candidate_better_than_active,noise_risk,subset_stable_snapshot,stable_across_windows
ticker_bbri,ticker,BBRI,,,BBRI,3,last_3_slice,1,2026-02-23,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bbri,ticker,BBRI,,,BBRI,4,last_4_slice,1,2026-02-05,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bbri,ticker,BBRI,,,BBRI,5,last_5_slice,1,2026-01-12,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bmri,ticker,BMRI,,,BMRI,1,last_1_slice,1,2026-03-27,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bmri,ticker,BMRI,,,BMRI,2,last_2_slice,1,2026-03-11,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bmri,ticker,BMRI,,,BMRI,3,last_3_slice,1,2026-02-23,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bmri,ticker,BMRI,,,BMRI,4,last_4_slice,1,2026-02-05,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bmri,ticker,BMRI,,,BMRI,5,last_5_slice,1,2026-01-12,2026-04-11,1,2,1,0.0,0.0,0.0,-6.5996,-5.8814,0.7181999999999995,0.0,6.5996,6.5996,-42.999,-36.6733,6.325700000000005,0,0,False,True,True,False,False
ticker_goto,ticker,GOTO,,,GOTO,1,last_1_slice,1,2026-03-27,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_goto,ticker,GOTO,,,GOTO,2,last_2_slice,1,2026-03-11,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_goto,ticker,GOTO,,,GOTO,3,last_3_slice,1,2026-02-23,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_goto,ticker,GOTO,,,GOTO,4,last_4_slice,1,2026-02-05,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_goto,ticker,GOTO,,,GOTO,5,last_5_slice,1,2026-01-12,2026-04-11,0,1,1,0.0,100.0,100.0,0.0,57.8947,57.8947,0.0,0.0,0.0,-34.0,143.2368,177.2368,0,0,False,True,True,False,False
