candidate_id,entry_rule,hold_period,min_trades_threshold,profit_buffer_pct,ticker,applied_threshold,applied_strict_mode,signal_count,total_trades,win_rate,buffered_win_rate,average_return,max_drawdown,eligible_for_analysis,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
baseline_v2_hold3_with_simplified_entry,close_gt_ema50,3,5,0.0,UNVR,1.5,False,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,34.0,-34.0,consumer,,konsumsi,
baseline_v2_hold3_with_simplified_entry,close_gt_ema50,3,5,0.0,BMRI,1.5,False,3,2,0.0,0.0,-5.8814,6.5996,False,-14.7035,7.0,2.9698,26.0,-36.6733,finance,,perbankan,
baseline_v2_hold3_with_simplified_entry,close_gt_ema50,3,5,0.0,ASII,1.5,False,3,1,0.0,0.0,-4.7909,0.0,False,-11.9772,3.5,0.0,30.0,-38.4772,automotive,,otomotif,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,ADRO,1.5,False,13,5,20.0,20.0,-3.5549,15.6276,True,-3.8872,17.5,7.0324,0.0,6.5803,energy,,energi,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,GOTO,1.5,False,2,1,100.0,100.0,57.8947,0.0,False,169.7368,3.5,0.0,30.0,143.2368,technology,,teknologi,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,TLKM,1.5,False,1,1,0.0,0.0,-1.2346,0.0,False,-3.0865,3.5,0.0,30.0,-29.5865,telco,,telekomunikasi,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,BBCA,1.5,False,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,34.0,-34.0,finance,,perbankan,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,BBRI,1.5,False,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,34.0,-34.0,finance,,perbankan,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,BUMI,1.5,False,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,34.0,-34.0,mining,,pertambangan,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,DEWA,1.5,False,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,34.0,-34.0,mining,,pertambangan,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,UNVR,1.5,False,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,34.0,-34.0,consumer,,konsumsi,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,BMRI,1.5,False,2,2,0.0,0.0,-5.8814,6.5996,False,-14.7035,7.0,2.9698,26.0,-36.6733,finance,,perbankan,
baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,3,5,0.0,ASII,1.5,False,3,1,0.0,0.0,-4.7909,0.0,False,-11.9772,3.5,0.0,30.0,-38.4772,automotive,,otomotif,
