group_field,group_value,threshold,ticker_count,eligible_ticker_count,winner_ticker_count,total_trades_sum,total_trades_mean,win_rate_mean,average_return_mean,max_drawdown_mean,mean_score,median_score,trade_retention_vs_threshold_2_0_pct,win_rate_vs_threshold_2_0,average_return_vs_threshold_2_0,max_drawdown_vs_threshold_2_0,aggregate_score_vs_threshold_2_0,sample_status
category,energy,2.0,1,1,0,2.0,2.0,0.0,-0.1901,0.0,-37.0,-37.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
category,energy,2.5,1,1,0,2.0,2.0,0.0,-0.1901,0.0,-37.0,-37.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
category,energy,3.0,1,1,0,1.0,1.0,0.0,-0.3802,0.0,-45.5703,-45.5703,50.0,0.0,-0.1901,0.0,-6.5703,insufficient_group_sample
category,finance,1.5,3,3,0,1.0,0.3333333333333333,0.0,-1.8108666666666666,0.0,-48.333333333333336,-53.0,100.0,0.0,0.0,0.0,0.0,enough_sample
category,finance,2.0,3,3,3,1.0,0.3333333333333333,0.0,-1.8108666666666666,0.0,-48.333333333333336,-53.0,100.0,0.0,0.0,0.0,0.0,enough_sample
category,finance,2.5,3,3,0,1.0,0.3333333333333333,0.0,-1.8108666666666666,0.0,-48.333333333333336,-53.0,100.0,0.0,0.0,0.0,0.0,enough_sample
category,finance,3.0,3,3,0,1.0,0.3333333333333333,0.0,-1.8108666666666666,0.0,-48.333333333333336,-53.0,100.0,0.0,0.0,0.0,0.0,enough_sample
category,mining,1.5,2,2,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,enough_sample
category,mining,2.0,2,2,2,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,enough_sample
category,mining,2.5,2,2,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,enough_sample
category,mining,3.0,2,2,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,enough_sample
category,technology,1.5,1,1,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,insufficient_group_sample
category,technology,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,insufficient_group_sample
category,technology,2.5,1,1,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,insufficient_group_sample
category,technology,3.0,1,1,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,insufficient_group_sample
category,telco,1.5,1,1,0,1.0,1.0,0.0,-6.1728,0.0,-39.0,-39.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
category,telco,2.0,1,1,1,1.0,1.0,0.0,-6.1728,0.0,-39.0,-39.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
category,telco,2.5,1,1,0,1.0,1.0,0.0,-6.1728,0.0,-39.0,-39.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
category,telco,3.0,1,1,0,1.0,1.0,0.0,-6.1728,0.0,-39.0,-39.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
