ticker,variant_id,candidate_id,comparison_role,entry_rule,entry_anchor_rule,quality_gate_id,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,candidate_signal_count,candidate_total_trades,candidate_eligible_for_analysis,win_rate,buffered_win_rate,average_return,max_drawdown,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
ADRO,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,10,4,False,25.0,25.0,-0.1679,0.91,5.8303,14.0,0.4095,18.0,1.4207,energy,,energi,
ADRO,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,21,10,True,30.0,30.0,-0.25,6.4498,6.875,17.5,2.9024,0.0,21.4726,energy,,energi,
ADRO,baseline_v4_quality_gate_v2_coverage_push,baseline_v4_quality_gate_v2_coverage_push,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,coverage_push_with_guardrails,3,5,0.0,1.5,6,4,False,25.0,25.0,-0.7503,3.375,4.3742,14.0,1.5188,18.0,-1.1445,energy,,energi,
ADRO,baseline_v4_quality_gate_v2_body_relaxed,baseline_v4_quality_gate_v2_body_relaxed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor_relaxed,3,5,0.0,1.5,5,3,False,33.33,33.3333,-0.5327,2.0,7.0016,10.5,0.9,22.0,-5.3984,energy,,energi,
ADRO,baseline_v4_quality_gate_v2_anchor_micro_confirm,baseline_v4_quality_gate_v2_anchor_micro_confirm,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_relaxed_plus_micro_anchor_confirm,3,5,0.0,1.5,5,3,False,33.33,33.3333,-0.5327,2.0,7.0016,10.5,0.9,22.0,-5.3984,energy,,energi,
ASII,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,automotive,,otomotif,
ASII,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,1,1,False,0.0,0.0,-6.6914,0.0,-16.7285,3.5,0.0,30.0,-43.2285,automotive,,otomotif,
ASII,baseline_v4_quality_gate_v2_body_relaxed,baseline_v4_quality_gate_v2_body_relaxed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor_relaxed,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,automotive,,otomotif,
ASII,baseline_v4_quality_gate_v2_anchor_micro_confirm,baseline_v4_quality_gate_v2_anchor_micro_confirm,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_relaxed_plus_micro_anchor_confirm,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,automotive,,otomotif,
ASII,baseline_v4_quality_gate_v2_coverage_push,baseline_v4_quality_gate_v2_coverage_push,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,coverage_push_with_guardrails,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,automotive,,otomotif,
BBCA,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,10,3,False,33.33,33.3333,-0.3351,0.273,7.4956,10.5,0.1229,22.0,-4.1273,finance,,perbankan,
BBCA,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,17,6,True,50.0,50.0,0.0908,1.2812,12.727,17.5,0.5765,0.0,29.6505,finance,,perbankan,
BBCA,baseline_v4_quality_gate_v2_body_relaxed,baseline_v4_quality_gate_v2_body_relaxed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor_relaxed,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,finance,,perbankan,
BBCA,baseline_v4_quality_gate_v2_anchor_micro_confirm,baseline_v4_quality_gate_v2_anchor_micro_confirm,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_relaxed_plus_micro_anchor_confirm,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,finance,,perbankan,
BBCA,baseline_v4_quality_gate_v2_coverage_push,baseline_v4_quality_gate_v2_coverage_push,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,coverage_push_with_guardrails,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,finance,,perbankan,
BBRI,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,9,4,False,50.0,50.0,-0.1204,0.2415,12.199,14.0,0.1087,18.0,8.0903,finance,,perbankan,
BBRI,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,15,8,True,50.0,50.0,-0.4265,5.4758,11.4337,17.5,2.4641,0.0,26.4696,finance,,perbankan,
BBRI,baseline_v4_quality_gate_v2_body_relaxed,baseline_v4_quality_gate_v2_body_relaxed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor_relaxed,3,5,0.0,1.5,3,2,False,50.0,50.0,-1.2398,3.7783,9.4005,7.0,1.7002,26.0,-11.2997,finance,,perbankan,
BBRI,baseline_v4_quality_gate_v2_anchor_micro_confirm,baseline_v4_quality_gate_v2_anchor_micro_confirm,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_relaxed_plus_micro_anchor_confirm,3,5,0.0,1.5,3,2,False,50.0,50.0,-1.2398,3.7783,9.4005,7.0,1.7002,26.0,-11.2997,finance,,perbankan,
BBRI,baseline_v4_quality_gate_v2_coverage_push,baseline_v4_quality_gate_v2_coverage_push,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,coverage_push_with_guardrails,3,5,0.0,1.5,3,2,False,50.0,50.0,-1.2398,3.7783,9.4005,7.0,1.7002,26.0,-11.2997,finance,,perbankan,
BMRI,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,11,4,False,0.0,0.0,-0.5758,2.1916,-1.4395,14.0,0.9862,18.0,-6.4257,finance,,perbankan,
BMRI,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,20,8,True,62.5,62.5,-0.1759,4.0587,15.1852,17.5,1.8264,0.0,30.8588,finance,,perbankan,
BMRI,baseline_v4_quality_gate_v2_body_relaxed,baseline_v4_quality_gate_v2_body_relaxed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor_relaxed,3,5,0.0,1.5,4,3,False,0.0,0.0,-1.551,4.6075,-3.8775,10.5,2.0734,22.0,-17.4509,finance,,perbankan,
BMRI,baseline_v4_quality_gate_v2_anchor_micro_confirm,baseline_v4_quality_gate_v2_anchor_micro_confirm,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_relaxed_plus_micro_anchor_confirm,3,5,0.0,1.5,4,3,False,0.0,0.0,-1.551,4.6075,-3.8775,10.5,2.0734,22.0,-17.4509,finance,,perbankan,
BMRI,baseline_v4_quality_gate_v2_coverage_push,baseline_v4_quality_gate_v2_coverage_push,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,coverage_push_with_guardrails,3,5,0.0,1.5,4,3,False,0.0,0.0,-1.551,4.6075,-3.8775,10.5,2.0734,22.0,-17.4509,finance,,perbankan,
BUMI,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,mining,,pertambangan,
BUMI,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,4,2,False,50.0,50.0,3.3109,0.0,20.7773,7.0,0.0,26.0,1.7773,mining,,pertambangan,
BUMI,baseline_v4_quality_gate_v2_body_relaxed,baseline_v4_quality_gate_v2_body_relaxed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor_relaxed,3,5,0.0,1.5,1,1,False,0.0,0.0,-9.2715,0.0,-23.1788,3.5,0.0,30.0,-49.6788,mining,,pertambangan,
BUMI,baseline_v4_quality_gate_v2_anchor_micro_confirm,baseline_v4_quality_gate_v2_anchor_micro_confirm,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_relaxed_plus_micro_anchor_confirm,3,5,0.0,1.5,1,1,False,0.0,0.0,-9.2715,0.0,-23.1788,3.5,0.0,30.0,-49.6788,mining,,pertambangan,
BUMI,baseline_v4_quality_gate_v2_coverage_push,baseline_v4_quality_gate_v2_coverage_push,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,coverage_push_with_guardrails,3,5,0.0,1.5,1,1,False,0.0,0.0,-9.2715,0.0,-23.1788,3.5,0.0,30.0,-49.6788,mining,,pertambangan,
DEWA,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,mining,,pertambangan,
DEWA,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,2,1,False,0.0,0.0,-3.1496,0.0,-7.874,3.5,0.0,30.0,-34.374,mining,,pertambangan,
DEWA,baseline_v4_quality_gate_v2_body_relaxed,baseline_v4_quality_gate_v2_body_relaxed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor_relaxed,3,5,0.0,1.5,1,1,False,0.0,0.0,-3.1496,0.0,-7.874,3.5,0.0,30.0,-34.374,mining,,pertambangan,
DEWA,baseline_v4_quality_gate_v2_anchor_micro_confirm,baseline_v4_quality_gate_v2_anchor_micro_confirm,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_relaxed_plus_micro_anchor_confirm,3,5,0.0,1.5,1,1,False,0.0,0.0,-3.1496,0.0,-7.874,3.5,0.0,30.0,-34.374,mining,,pertambangan,
DEWA,baseline_v4_quality_gate_v2_coverage_push,baseline_v4_quality_gate_v2_coverage_push,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,coverage_push_with_guardrails,3,5,0.0,1.5,1,1,False,0.0,0.0,-3.1496,0.0,-7.874,3.5,0.0,30.0,-34.374,mining,,pertambangan,
GOTO,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,8,3,False,33.33,33.3333,6.2759,11.8637,24.0231,10.5,5.3387,22.0,7.1844,technology,,teknologi,
GOTO,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,10,4,False,50.0,50.0,3.9417,11.8637,22.3543,14.0,5.3387,18.0,13.0156,technology,,teknologi,
GOTO,baseline_v4_quality_gate_v2_body_relaxed,baseline_v4_quality_gate_v2_body_relaxed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor_relaxed,3,5,0.0,1.5,3,2,False,50.0,50.0,11.9157,4.4611,42.2892,7.0,2.0075,26.0,21.2818,technology,,teknologi,
GOTO,baseline_v4_quality_gate_v2_anchor_micro_confirm,baseline_v4_quality_gate_v2_anchor_micro_confirm,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_relaxed_plus_micro_anchor_confirm,3,5,0.0,1.5,3,2,False,50.0,50.0,11.9157,4.4611,42.2892,7.0,2.0075,26.0,21.2818,technology,,teknologi,
