ticker,label,n_trades,n_episodes,verdict,detail,wr_pct,mean_pct,median_pct,ci95_lo_pct,p1,p3,p4,passed
GTSI,GABUNGAN,161,15,LULUS 2/3,,60.0,1.0060304752013771,0.7605702445089009,-0.12916940221437084,True,True,False,2.0
GULA,GABUNGAN,129,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
HMSP,GABUNGAN,41,12,LULUS 0/3,,33.33333333333333,0.3315283576140308,-0.8752831897567266,-1.0681637866832687,False,False,False,0.0
HRTA,GABUNGAN,103,13,LULUS PENUH,,61.53846153846154,1.7797147102121234,0.7360824742268075,0.02782400930842708,True,True,True,3.0
HUMI,GABUNGAN,163,17,LULUS 2/3,,58.82352941176471,1.4953661333536685,0.15964912280701957,-0.1757161572118493,True,True,False,2.0
IATA,GABUNGAN,119,15,LULUS 1/3,,60.0,1.7041380031032831,0.6385964912280613,-0.407925937748863,False,True,False,1.0
ICBP,GABUNGAN,16,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
IMPC,GABUNGAN,88,13,LULUS 1/3,,46.15384615384615,-0.24232559921219368,-1.1005780346820864,-1.386630125534958,True,False,False,1.0
INCO,GABUNGAN,112,16,LULUS 2/3,,50.0,0.505566245451475,0.033145764479972695,-0.24096848210932903,True,True,False,2.0
INDF,GABUNGAN,11,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
INDY,GABUNGAN,101,18,LULUS PENUH,,66.66666666666666,1.169706146563984,0.8134084118908622,0.11590731657371085,True,True,True,3.0
INET,GABUNGAN,178,15,LULUS 2/3,,60.0,1.1749167811389782,0.9607287449392716,-0.2113854683977633,True,True,False,2.0
INKP,GABUNGAN,59,15,LULUS 1/3,,46.666666666666664,0.3199250359678838,-0.9842706443593356,-0.8241268369124144,True,False,False,1.0
IRSX,GABUNGAN,218,13,LULUS 2/3,,61.53846153846154,2.7402568746650613,0.9692307692307673,-1.3452195925110142,True,True,False,2.0
ITMG,GABUNGAN,15,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
JGLE,GABUNGAN,258,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
JKON,GABUNGAN,36,14,LULUS 2/3,,50.0,1.327041140976324,0.12831339260938115,-0.06128664564068998,True,True,False,2.0
KBLV,GABUNGAN,195,12,LULUS PENUH,,83.33333333333334,5.000600884938176,2.754832581919892,1.1563711806101336,True,True,True,3.0
KIJA,GABUNGAN,73,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
KOKA,GABUNGAN,178,14,LULUS 2/3,,57.14285714285714,1.1507177270908215,0.30690110215698,-1.3552607248225574,True,True,False,2.0
KOTA,GABUNGAN,250,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
LSIP,GABUNGAN,46,12,LULUS 1/3,,41.66666666666667,0.19479975636103475,-0.3656235786480104,-0.5171363306370517,True,False,False,1.0
MAPI,GABUNGAN,56,17,LULUS 0/3,,58.82352941176471,0.688471081749506,0.16969696969695372,-0.8582995538037622,False,False,False,0.0
MAXI,GABUNGAN,28,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
MBMA,GABUNGAN,142,18,LULUS PENUH,,66.66666666666666,2.3679412836213207,0.2724722525461787,0.5537689238191208,True,True,True,3.0
MCAS,GABUNGAN,220,15,LULUS 1/3,,53.333333333333336,0.7256014407163988,0.19236641221373543,-0.9290144235556196,False,True,False,1.0
MDIA,GABUNGAN,203,5,SAMPEL TIPIS,cuma 5 episode (min 12),,,,,,,,
MDKA,GABUNGAN,99,19,LULUS 2/3,,47.368421052631575,0.9706580596410823,-0.1399808476327346,-0.0884288976017408,True,True,False,2.0
MEDC,GABUNGAN,61,17,LULUS 0/3,,35.294117647058826,-0.5106345467340406,-0.474253980998262,-1.113058913272666,False,False,False,0.0
MINA,GABUNGAN,230,12,LULUS PENUH,,66.66666666666666,12.913107206460536,2.835311097568982,0.43768566318192265,True,True,True,3.0
MLPL,GABUNGAN,183,16,LULUS PENUH,,81.25,1.0690474701357702,0.9887435533800649,0.274615136294632,True,True,True,3.0
MLPT,GABUNGAN,209,16,LULUS PENUH,,50.0,7.764893381389647,0.6620074552672637,0.11791757740769407,True,True,True,3.0
NCKL,GABUNGAN,77,17,LULUS 2/3,,35.294117647058826,0.38948946914243543,-0.09974846067190499,-0.38119186668742133,True,True,False,2.0
NSSS,GABUNGAN,95,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
NTBK,GABUNGAN,117,5,SAMPEL TIPIS,cuma 5 episode (min 12),,,,,,,,
OILS,GABUNGAN,103,16,LULUS PENUH,,68.75,3.158430175262597,1.1877803357338845,0.9805923457693676,True,True,True,3.0
PADI,GABUNGAN,243,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
PAMG,GABUNGAN,84,17,LULUS 2/3,,64.70588235294117,0.747904538161753,0.8981545318569086,-0.18215648154287986,True,True,False,2.0
PANI,GABUNGAN,109,18,LULUS 2/3,,55.55555555555556,0.3445933812701039,0.22439530922432407,-0.4524861756412498,True,True,False,2.0
PGAS,GABUNGAN,40,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
PNLF,GABUNGAN,74,15,LULUS 0/3,,46.666666666666664,0.13604072734813694,-0.1492938693410414,-0.8425571794941928,False,False,False,0.0
PSAB,GABUNGAN,145,14,LULUS 2/3,,64.28571428571429,1.1189361810481993,0.8898583304433154,-0.11182025841691272,True,True,False,2.0
PTBA,GABUNGAN,19,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
PTRO,GABUNGAN,148,15,LULUS PENUH,,73.33333333333333,2.2942680418203643,1.1819808199812738,0.40809658988669834,True,True,True,3.0
RAJA,GABUNGAN,162,19,LULUS PENUH,,73.68421052631578,2.1739686244799374,1.8148749678143985,0.9135712513019683,True,True,True,3.0
RATU,GABUNGAN,146,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
REAL,GABUNGAN,205,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
RMKE,GABUNGAN,87,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
SLIS,GABUNGAN,114,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
SMIL,GABUNGAN,194,14,LULUS 2/3,,50.0,0.8467824081490282,-0.32183908045977305,-1.1066496730957749,True,True,False,2.0
SSIA,GABUNGAN,126,19,LULUS 2/3,,57.89473684210527,0.6218023496019437,0.050478580057611994,-0.2764771058784084,True,True,False,2.0
SWID,GABUNGAN,61,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
TINS,GABUNGAN,93,18,LULUS PENUH,,72.22222222222221,1.3945896563081484,0.8839228319826488,0.24933236446576137,True,True,True,3.0
