ticker,n_trades,n_episodes,verdict,detail,total_ret_pct,ep_mean_pct,ep_median_pct,ep_winrate_pct,bh_mean_pct,ci95_lower_pct,P1,P2,P3,P4,passed
AALI,26,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,,,,
ACES,51,17,GAGAL,,-11.336938690213039,-0.43034497314558795,-0.6267612183213249,17.647058823529413,0.2181762237013087,-1.1074164118752075,False,False,False,False,0.0
ADRO,51,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,,,,
AKRA,34,18,GAGAL,,20.16708137628599,0.8420226454085975,-0.846703226558556,22.22222222222222,0.7380043621512451,-1.2501133225093632,False,True,False,False,1.0
AMRT,68,18,GAGAL,,50.78321508492645,-0.17499452031372167,-1.3834297325621445,33.33333333333333,0.28691488370445856,-1.19619581357314,True,False,False,False,1.0
ANTM,86,16,GAGAL,,-18.933310131365477,0.0996544161629351,-0.2750812969837181,37.5,4.920465056018039,-0.7404031647495679,False,False,False,False,0.0
ASII,29,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,,,,
AUTO,19,14,GAGAL,,-7.288983192861584,-0.7077771907104693,-1.1554876142167207,35.714285714285715,0.9623489583713039,-1.522447836071905,False,False,False,False,0.0
BBCA,16,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,,,,
BBNI,37,12,LULUS 2/4,,-11.258881679828042,-0.45325948422375834,-1.591300176881788,33.33333333333333,-0.5290305995156965,-1.6320821690329457,True,True,False,False,2.0
BBRI,31,14,GAGAL,,-14.447707546779592,-0.17877621807999522,-0.023129826628912283,50.0,1.02285688547369,-0.9838645608603924,False,False,False,False,0.0
BBTN,40,22,GAGAL,,-25.121705130743656,-0.7008344093740856,-0.66298953357771,27.27272727272727,1.9195275056651948,-1.3203262028284388,False,False,False,False,0.0
BMRI,35,17,GAGAL,,-12.555562647988245,-0.15244055326582892,-0.7244657217059352,41.17647058823529,-0.42786626473935735,-1.0858046130794095,False,True,False,False,1.0
BSDE,48,17,LULUS 2/4,,5.663191460190404,0.2997187349980861,-0.12384615384615147,47.05882352941176,1.5268662178409145,-0.4163505275488617,True,False,True,False,2.0
CPIN,43,13,GAGAL,,-35.41789072488074,-0.6189548198191006,-0.8174224161537729,30.76923076923077,0.8472797847785062,-1.2349952842768048,False,False,False,False,0.0
CTRA,38,15,GAGAL,,-2.6222828453794285,-0.19092079273298826,-0.6382352941176388,33.33333333333333,0.5674428640328504,-0.8086951517142514,False,False,False,False,0.0
ERAA,38,19,GAGAL,,20.488269954047688,0.26159180433409357,-0.43855421686746987,47.368421052631575,3.024054251408547,-0.5564730776045256,False,False,False,False,0.0
EXCL,53,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,,,,
GGRM,36,15,GAGAL,,2.9149703893005094,-0.15225408770568716,-0.5027468305800968,46.666666666666664,5.609949250452352,-1.1896048765168614,False,False,False,False,0.0
GOTO,76,21,LULUS 2/4,,-5.788384905449738,0.9506656128892232,0.5793103448275889,57.14285714285714,1.9366806701151922,-0.197075163164732,True,False,True,False,2.0
HMSP,40,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,,,,
ICBP,16,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,,,,
INCO,112,16,LULUS 2/4,,127.14292174622592,0.505566245451475,0.033145764479972695,50.0,3.2196873680381795,-0.24096848210932903,True,False,True,False,2.0
INDF,11,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,,,,
INDY,101,18,LULUS PENUH,,197.0520304948515,1.169706146563984,0.8134084118908622,66.66666666666666,0.7184799227446124,0.11590731657371085,True,True,True,True,4.0
INTP,49,12,GAGAL,,-43.3102822826429,-0.45505077011184225,-1.0617463125370104,33.33333333333333,1.585438282273156,-1.2696994804559487,False,False,False,False,0.0
ISAT,71,19,GAGAL,,21.101875075333567,0.7544493151658141,-0.44713656387665196,42.10526315789473,3.1038612350090253,-0.4982614045729927,False,False,False,False,0.0
ITMG,15,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,,,,
JPFA,48,16,GAGAL,,-21.2886809136304,-0.8900520676651387,-0.8448904813910523,25.0,0.5109534281982226,-1.393728182293915,False,False,False,False,0.0
JSMR,24,13,GAGAL,,-18.57346812964972,-0.7209204479774638,-1.6408274623566803,30.76923076923077,0.4163649743747601,-1.7107162743024522,False,False,False,False,0.0
KLBF,26,13,GAGAL,,-8.480593723555737,-0.6637903374231997,-0.7793814432989647,38.46153846153847,0.39484148691196497,-1.3957916079830792,False,False,False,False,0.0
LSIP,46,12,GAGAL,,11.751101286262319,0.19479975636103475,-0.3656235786480104,41.66666666666667,2.2408646785699595,-0.5171363306370517,True,False,False,False,1.0
MAPI,56,17,GAGAL,,37.436645538727085,0.688471081749506,0.16969696969695372,58.82352941176471,3.07991743175486,-0.8582995538037622,False,False,False,False,0.0
MEDC,61,17,GAGAL,,-55.37943512203876,-0.5106345467340406,-0.474253980998262,35.294117647058826,0.8850362021131727,-1.113058913272666,False,False,False,False,0.0
MIKA,23,12,GAGAL,,3.3387029981515908,-0.1972162842563009,-0.43046141282156936,41.66666666666667,1.119748006557952,-0.9520488785478689,True,False,False,False,1.0
MNCN,44,15,GAGAL,,-31.721439509236728,-0.5990578755498899,-1.0027270388474445,33.33333333333333,0.27907570954408956,-1.3705197116009722,False,False,False,False,0.0
MYOR,36,15,GAGAL,,-18.13513917409634,-0.724935807741144,-0.43666859270672864,26.666666666666668,-0.37072628932376467,-1.2481966767516108,False,False,False,False,0.0
PGAS,40,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,,,,
PTBA,19,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,,,,
PWON,20,12,GAGAL,,11.97833162464085,-0.9510503545947417,-1.5882006240124418,16.666666666666664,0.8119978373405432,-1.8849298742556988,False,False,False,False,0.0
RALS,18,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,,,,
SCMA,114,16,LULUS 3/4,,79.49535877923786,0.2647041360981067,-0.17562063924092725,43.75,-1.0456794641044764,-0.3743108908085119,True,True,True,False,3.0
