date,ticker,scenario,entry_mode,start_mode,open_time,open_price,entry_time,entry_price,trail_start_time,peak_price,exit_time,exit_price,exit_reason,return_pct
2026-07-20,TPIA,buy_open_H__trail_from_entry,buy_open_H,trail_from_entry,2026-07-20 09:00:00+07:00,1960.0,2026-07-20 09:00:00+07:00,1960.0,2026-07-20 09:00:00+07:00,1995.0,2026-07-20 09:00:00+07:00,1975.05,trailing_stop,0.46785714285714236
2026-07-20,TPIA,buy_open_H__trail_from_0930,buy_open_H,trail_from_0930,2026-07-20 09:00:00+07:00,1960.0,2026-07-20 09:00:00+07:00,1960.0,2026-07-20 09:30:00+07:00,1995.0,2026-07-20 09:30:00+07:00,1975.05,trailing_stop,0.46785714285714236
2026-07-20,ANTM,buy_open_H__trail_from_entry,buy_open_H,trail_from_entry,2026-07-20 09:00:00+07:00,3050.0,2026-07-20 09:00:00+07:00,3050.0,2026-07-20 09:00:00+07:00,3070.0,2026-07-20 09:20:00+07:00,3039.3,trailing_stop,-0.6508196721311419
2026-07-20,ANTM,buy_open_H__trail_from_0930,buy_open_H,trail_from_0930,2026-07-20 09:00:00+07:00,3050.0,2026-07-20 09:00:00+07:00,3050.0,2026-07-20 09:30:00+07:00,3070.0,2026-07-20 11:50:00+07:00,3039.3,trailing_stop,-0.6508196721311419
2026-07-20,BBTN,buy_open_H__trail_from_entry,buy_open_H,trail_from_entry,2026-07-20 09:00:00+07:00,1265.0,2026-07-20 09:00:00+07:00,1265.0,2026-07-20 09:00:00+07:00,1280.0,2026-07-20 09:00:00+07:00,1267.2,trailing_stop,-0.12608695652173127
2026-07-20,BBTN,buy_open_H__trail_from_0930,buy_open_H,trail_from_0930,2026-07-20 09:00:00+07:00,1265.0,2026-07-20 09:00:00+07:00,1265.0,2026-07-20 09:30:00+07:00,1285.0,2026-07-20 09:55:00+07:00,1272.15,trailing_stop,0.26521739130435124
2026-07-20,BREN,buy_open_H__trail_from_entry,buy_open_H,trail_from_entry,2026-07-20 09:00:00+07:00,3430.0,2026-07-20 09:00:00+07:00,3430.0,2026-07-20 09:00:00+07:00,3460.0,2026-07-20 09:15:00+07:00,3425.4,trailing_stop,-0.43411078717200374
2026-07-20,BREN,buy_open_H__trail_from_0930,buy_open_H,trail_from_0930,2026-07-20 09:00:00+07:00,3430.0,2026-07-20 09:00:00+07:00,3430.0,2026-07-20 09:30:00+07:00,3460.0,2026-07-20 09:30:00+07:00,3425.4,trailing_stop,-0.43411078717200374
2026-07-20,CBRE,buy_open_H__trail_from_entry,buy_open_H,trail_from_entry,2026-07-20 09:00:00+07:00,785.0,2026-07-20 09:00:00+07:00,785.0,2026-07-20 09:00:00+07:00,820.0,2026-07-20 09:00:00+07:00,811.8,trailing_stop,3.1140127388534893
2026-07-20,CBRE,buy_open_H__trail_from_0930,buy_open_H,trail_from_0930,2026-07-20 09:00:00+07:00,785.0,2026-07-20 09:00:00+07:00,785.0,2026-07-20 09:30:00+07:00,820.0,2026-07-20 09:30:00+07:00,811.8,trailing_stop,3.1140127388534893
2026-07-20,JELI,buy_open_H__trail_from_entry,buy_open_H,trail_from_entry,2026-07-20 09:00:00+07:00,895.0,2026-07-20 09:00:00+07:00,895.0,2026-07-20 09:00:00+07:00,905.0,2026-07-20 09:00:00+07:00,895.95,trailing_stop,-0.19385474860335014
