variant_id,variant_label,ticker,rows,date_start,date_end,applied_threshold,applied_strict_mode,layer1_signals,variant_signals,skipped_signals,signal_retention_pct,coverage_collapsed,layer1_total_trades,variant_total_trades,trade_retention_pct,layer1_win_rate,variant_win_rate,delta_win_rate,layer1_average_return,variant_average_return,delta_average_return,layer1_max_drawdown,variant_max_drawdown,delta_max_drawdown
top_25pct_return_20d,Top 25% by return_20d,ERAA,3527,2011-12-14,2026-04-22,1.5,False,255,136,119,53.3333,False,123,67,54.4715,43.09,40.3,-2.79,0.14,0.3214,0.1814,63.1582,44.202,-18.9562
top_25pct_return_20d,Top 25% by return_20d,ESSA,3493,2012-02-01,2026-04-22,1.5,False,293,186,107,63.4812,False,126,85,67.4603,46.83,48.24,1.41,1.0964,1.2783,0.1819,52.4062,28.7295,-23.6767
top_25pct_return_20d,Top 25% by return_20d,EXCL,5060,2005-09-29,2026-04-22,1.5,False,388,174,214,44.8454,False,183,88,48.0874,43.72,37.5,-6.22,0.6438,-0.5162,-1.16,34.3768,48.9588,14.582
top_25pct_return_20d,Top 25% by return_20d,GGRM,6174,2001-06-07,2026-04-22,1.5,False,420,145,275,34.5238,False,218,82,37.6147,47.25,48.78,1.53,0.4837,0.5758,0.0921,57.8728,40.0453,-17.8275
top_25pct_return_20d,Top 25% by return_20d,GOTO,961,2022-04-11,2026-04-22,1.5,False,43,32,11,74.4186,False,21,16,76.1905,38.1,43.75,5.65,-0.7687,0.4039,1.1726,38.1522,20.2913,-17.8609
top_25pct_return_20d,Top 25% by return_20d,HMSP,6097,2001-09-25,2026-04-22,1.5,False,525,174,351,33.1429,False,229,82,35.8079,46.29,47.56,1.27,0.2118,0.7197,0.5079,95.3759,24.8948,-70.4811
top_25pct_return_20d,Top 25% by return_20d,ICBP,6352,2000-10-02,2026-04-22,1.5,False,526,192,334,36.5019,False,252,106,42.0635,49.21,48.11,-1.1,0.5289,0.772,0.2431,30.1666,18.8259,-11.3407
top_25pct_return_20d,Top 25% by return_20d,INCO,5059,2005-09-29,2026-04-22,1.5,False,435,264,171,60.6897,False,200,126,63.0,45.5,46.03,0.53,0.7198,0.8627,0.1429,49.84,38.3838,-11.4562
top_25pct_return_20d,Top 25% by return_20d,INDF,6353,2000-10-02,2026-04-22,1.5,False,473,164,309,34.6723,False,227,93,40.9692,48.9,41.94,-6.96,0.6409,0.6591,0.0182,33.0776,39.5282,6.4506
top_25pct_return_20d,Top 25% by return_20d,INDY,4386,2008-06-11,2026-04-22,1.5,False,355,242,113,68.169,False,157,105,66.879,42.68,40.95,-1.73,1.2879,1.1735,-0.1144,63.7337,61.4372,-2.2965
top_25pct_return_20d,Top 25% by return_20d,INTP,6305,2000-12-06,2026-04-22,1.5,False,514,172,342,33.463,False,252,100,39.6825,45.63,42.0,-3.63,0.3103,-0.1085,-0.4188,52.5233,65.1912,12.6679
top_25pct_return_20d,Top 25% by return_20d,ISAT,5450,2004-03-18,2026-04-22,1.5,False,428,178,250,41.5888,False,206,94,45.6311,50.0,48.94,-1.06,0.9452,0.9128,-0.0324,43.7619,44.5651,0.8032
top_25pct_return_20d,Top 25% by return_20d,ITMG,4496,2007-12-18,2026-04-22,1.5,False,349,187,162,53.5817,False,183,96,52.459,47.54,52.08,4.54,0.1417,0.9627,0.821,62.5815,33.32,-29.2615
top_25pct_return_20d,Top 25% by return_20d,JPFA,6266,2001-01-31,2026-04-22,1.5,False,537,307,230,57.1695,False,230,142,61.7391,46.52,46.48,-0.04,0.8708,0.2941,-0.5767,59.0697,47.691,-11.3787
top_25pct_return_20d,Top 25% by return_20d,JSMR,4521,2007-11-12,2026-04-22,1.5,False,326,108,218,33.1288,False,164,65,39.6341,48.17,40.0,-8.17,0.07,-0.7247,-0.7947,28.8928,51.9947,23.1019
top_25pct_return_20d,Top 25% by return_20d,KLBF,5518,2003-12-15,2026-04-22,1.5,False,456,165,291,36.1842,False,223,91,40.8072,45.29,42.86,-2.43,0.5259,-0.0676,-0.5935,34.9668,34.6458,-0.321
top_25pct_return_20d,Top 25% by return_20d,LSIP,5947,2002-04-22,2026-04-22,1.5,False,533,263,270,49.3433,False,233,126,54.0773,45.49,44.44,-1.05,0.3369,0.2603,-0.0766,66.9877,57.4174,-9.5703
top_25pct_return_20d,Top 25% by return_20d,MAPI,5280,2004-11-10,2026-04-22,1.5,False,455,218,237,47.9121,False,222,112,50.4505,44.59,47.32,2.73,0.6376,16.9701,16.3325,57.1818,30.881,-26.3008
top_25pct_return_20d,Top 25% by return_20d,MEDC,6437,2000-06-06,2026-04-22,1.5,False,564,291,273,51.5957,False,258,141,54.6512,43.02,46.81,3.79,0.4605,0.7188,0.2583,52.1933,37.7759,-14.4174
top_25pct_return_20d,Top 25% by return_20d,MIKA,2716,2015-03-24,2026-04-22,1.5,False,98,58,40,59.1837,False,49,30,61.2245,53.06,60.0,6.94,0.4847,1.3301,0.8454,20.2864,10.3962,-9.8902
top_25pct_return_20d,Top 25% by return_20d,MNCN,4618,2007-06-22,2026-04-22,1.5,False,291,177,114,60.8247,False,140,93,66.4286,37.14,38.71,1.57,-0.6238,-0.8403,-0.2165,83.8857,78.6934,-5.1923
top_25pct_return_20d,Top 25% by return_20d,MYOR,6316,2000-11-22,2026-04-22,1.5,False,567,255,312,44.9735,False,273,137,50.1832,50.92,51.82,0.9,1.0114,1.2214,0.21,27.1983,33.4446,6.2463
top_25pct_return_20d,Top 25% by return_20d,PGAS,5517,2003-12-15,2026-04-22,1.5,False,476,240,236,50.4202,False,239,119,49.7908,48.12,50.42,2.3,0.9131,1.0152,0.1021,32.8297,41.8685,9.0388
