signal_date,entry_date,exit_date,entry_price,exit_price,return_pct,is_win,holding_period_bars,max_drawdown_pct,exit_reason,ticker,variant_id
2001-07-25,2001-07-26,2001-08-01,1667.4892578125,1524.5616455078125,-8.571426270666802,False,5,21.4286,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2002-02-18,2002-02-19,2002-02-25,1095.7786865234375,1167.2425537109375,6.521742763060347,True,5,4.3478,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2002-02-26,2002-02-27,2002-03-05,1286.348876953125,1262.527587890625,-1.851852906260053,False,5,1.8519,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2002-03-21,2002-03-22,2002-03-28,1524.5616455078125,1524.5616455078125,0.0,False,5,7.8125,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2002-04-01,2002-04-02,2002-04-08,1691.310546875,1738.953125,2.816903034929228,True,5,7.0423,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2002-04-10,2002-04-11,2002-04-17,1834.23828125,1905.7020263671875,3.896099315323757,True,5,0.0,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2002-05-31,2002-06-03,2002-06-07,1929.5233154296875,1929.5233154296875,0.0,False,5,2.4691,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2002-06-13,2002-06-14,2002-06-20,2120.093505859375,2024.8084716796875,-4.494378852458394,False,5,8.9888,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2003-04-30,2003-05-01,2003-05-07,1476.9190673828125,1548.3829345703125,4.838712476922529,True,5,1.6129,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2003-05-29,2003-05-30,2003-06-05,1524.5616455078125,1548.3829345703125,1.5625008757560226,True,5,0.0,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2003-08-15,2003-08-18,2003-08-22,1381.634033203125,1405.455322265625,1.7241388450220556,True,5,1.7241,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2003-09-03,2003-09-04,2003-09-10,1476.9190673828125,1548.3829345703125,4.838712476922529,True,5,1.6129,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2003-10-09,2003-10-10,2003-10-16,1572.2042236328125,1738.953125,10.606058606170722,True,5,1.5152,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2003-12-11,2003-12-12,2003-12-18,1619.8468017578125,1596.0255126953125,-1.470589011050292,False,5,2.9412,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2003-12-19,2003-12-22,2003-12-26,1619.8468017578125,1596.0255126953125,-1.470589011050292,False,5,2.9412,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2003-12-29,2003-12-30,2004-01-05,1667.4892578125,1715.1318359375,2.857144530424144,True,5,4.2857,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-01-06,2004-01-07,2004-01-13,1715.1318359375,1762.7744140625,2.7777793593900797,True,5,1.3889,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-02-16,2004-02-17,2004-02-23,1762.7744140625,1810.4169921875,2.7027041999777293,True,5,1.3514,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-02-25,2004-02-26,2004-03-03,1881.8807373046875,1881.8807373046875,0.0,False,5,7.5949,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-04-08,2004-04-09,2004-04-15,2024.8084716796875,2310.663818359375,14.117648690127965,True,5,5.8824,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-04-21,2004-04-22,2004-04-28,2239.199951171875,2358.306396484375,5.3191518359120264,True,5,0.0,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-04-29,2004-04-30,2004-05-06,2191.557373046875,2096.272216796875,-4.347828508706898,False,5,5.4348,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-05-25,2004-05-26,2004-06-01,2334.485107421875,2382.12744140625,2.0408069356668355,True,5,4.0816,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-06-02,2004-06-03,2004-06-09,2382.12744140625,2167.736083984375,-8.999995285529835,False,5,9.0,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-07-08,2004-07-09,2004-07-15,2167.736083984375,2096.272216796875,-3.2967051531543867,False,5,6.5934,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-08-24,2004-08-25,2004-08-31,2167.736083984375,2405.94873046875,10.989005914711342,True,5,1.0989,fixed_hold_5d,AALI,baseline_fixed_hold_5d
2004-09-01,2004-09-02,2004-09-08,2405.94873046875,2382.12744140625,-0.9900996127153096,False,5,2.9703,fixed_hold_5d,AALI,baseline_fixed_hold_5d
